client_name,client_email,policy_number,insurance_type,amount,company_name,start_date
Andrea Mata,sarahwright@example.org,POL-078289-tb,Life,1312.61,"Williams, Gonzalez and Olson Insurance",2026-01-20
Brandon Brown,john95@example.com,POL-324214-Rw,Travel,7515.22,Smith Group Insurance,2020-07-31
Nancy Knight,matthew02@example.net,POL-933252-zW,Health,89484.99,Sullivan and Sons Insurance,2024-06-06
Claire Smith,heidi87@example.org,POL-600432-Lz,Health,37419.8,Owen and Sons Insurance,2026-01-21
Tiffany Riley,rwheeler@example.net,POL-282591-yR,Travel,46880.76,"Hicks, Gonzalez and Nash Insurance",2023-01-02
Lisa Kelley,martin72@example.net,POL-363501-LD,Property,38455.01,Clark-Olson Insurance,2020-09-01
Caleb Duffy,rrobbins@example.org,POL-461790-EX,Vehicle,20191.53,Bernard-Cameron Insurance,2023-11-06
Brittany Short,judyallen@example.com,POL-305327-wU,Travel,30260.2,"Nguyen, Tanner and Dunn Insurance",2022-11-24
Nathan Patterson,ramseyjames@example.net,POL-233451-Mk,Property,9250.65,Mills Ltd Insurance,2025-01-31
Justin Johnson,eharris@example.com,POL-678128-rT,Vehicle,22469.37,"Gross, Clayton and Thompson Insurance",2025-07-16
Juan Miller,wlong@example.org,POL-473915-Oo,Health,69252.6,"Hartman, Sheppard and Arnold Insurance",2024-10-06
Ryan Farmer,jamessanchez@example.org,POL-623416-XZ,Life,21125.94,Perry LLC Insurance,2020-01-10
Joseph Collins,davidmarks@example.org,POL-846479-RX,Property,76646.49,"Estrada, Hayes and Moody Insurance",2022-02-03
Michael Crawford,obraun@example.net,POL-411035-rQ,Life,42680.97,Spencer-Huber Insurance,2022-01-12
Mrs. Karen Brennan,halelarry@example.org,POL-951290-ud,Life,8032.62,Dunn PLC Insurance,2023-05-28
Patricia Lewis,kimberlyharrington@example.net,POL-165608-Lh,Life,87975.04,Murphy Inc Insurance,2023-12-29
Christopher Russell,joanna42@example.net,POL-182304-fp,Travel,76222.53,Lee Inc Insurance,2021-06-01
Kevin Rodriguez,anthonywright@example.com,POL-058962-GG,Travel,35414.81,Dean-Joseph Insurance,2020-02-27
Cynthia Smith,gsalazar@example.com,POL-867804-nD,Life,67280.25,Brandt-Bishop Insurance,2022-09-09
Mike Johnson,william58@example.com,POL-213899-tq,Health,17265.78,"Harris, Castro and Long Insurance",2020-08-14
Katherine Johnson,matthewcastaneda@example.com,POL-627581-aN,Property,81142.74,"Jones, Logan and Sweeney Insurance",2023-10-30
Heather Williams,vlamb@example.org,POL-960427-tX,Life,25558.14,Casey and Sons Insurance,2021-03-31
Karen Miller,donnarogers@example.net,POL-855435-MT,Property,27543.24,"Hebert, Russell and Stewart Insurance",2025-02-06
Jesse Figueroa,matthew54@example.com,POL-040980-CZ,Travel,56676.74,Williams LLC Insurance,2021-01-01
Terry Phillips,maria68@example.org,POL-069234-LN,Life,30098.42,"Massey, Lamb and Gonzalez Insurance",2020-10-25
Kayla Rivera,valerie52@example.org,POL-322712-Uh,Vehicle,31108.21,Davis PLC Insurance,2023-09-30
John Boyd,kimberlyrollins@example.com,POL-203431-Gw,Travel,4952.42,Smith-Calhoun Insurance,2024-08-07
James Smith,nathantaylor@example.com,POL-805893-OA,Health,60888.89,Mckee-Mason Insurance,2023-02-24
Jamie Hobbs,mossbradley@example.org,POL-542574-Hg,Travel,31819.18,Smith and Sons Insurance,2025-09-07
